what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1386070740021
java.specification.name,sysinfo,,,"Java Platform API Specification",1386070740021
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386070740021
java.specification.version,sysinfo,,,"1.6",1386070740021
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1386070740021
java.version,sysinfo,,,"1.6.0_23",1386070740021
java.vm.info,sysinfo,,,"mixed mode",1386070740021
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1386070740021
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386070740021
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386070740021
java.vm.specification.version,sysinfo,,,"1.0",1386070740021
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1386070740021
java.vm.version,sysinfo,,,"19.0-b09",1386070740021
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1386070741097
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1386070741144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070741705
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1386070743483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070744653
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1386070745622
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1386070762014
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1386070762076
started,bundle,com.altera.sbtgui.integration.jars,13.13.0.132,"com.altera.sbtgui.integration.jars",1386070764992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070765492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070769547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070769578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070878191
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1386070904206
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1386070904268
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1386070904268
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1386070904268
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1386070904487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070904986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070916699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070921050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070924232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386070927257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386071007875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386071012071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386071014379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386071014411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386071053564
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386071061160
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1386071061815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386071164941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074420017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074432685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074442271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074442302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074443971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074451257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074713283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074732331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074791487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074836181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074880168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1386074885332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386074885675
